Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Madoqua,guentheri,Bovidae,Yes,Not_Threatened,4590,NA,116.73,175.00,NA,6.25,1526489,0.04,168.00,13.80,21.75,6878.46,NA,Specialist,2
Madoqua,kirkii,Bovidae,Yes,Not_Threatened,4770,501.88,203.68,171.50,182.50,2.50,1734714,NA,198.00,19.00,27.97,7190.19,Monogamous,Specialist,3
Madoqua,piacentinii,Bovidae,No,NA,2500,NA,219.33,NA,NA,NA,30486,NA,168.00,NA,18.06,834.95,NA,Specialist,2
Madoqua,saltiana,Bovidae,No,Not_Threatened,3380,NA,219.82,NA,NA,1.50,1219721,NA,168.00,NA,20.77,3816.19,Monogamous,Specialist,2
Mazama,americana,Cervidae,Yes,NA,20300,NA,NA,225.00,NA,1.00,12958595,NA,165.60,9.43,25.36,332316.79,Monogamous,Specialist,5
Mazama,bricenii,Cervidae,No,NA,16500,NA,NA,NA,NA,NA,83135,NA,NA,NA,74.22,77390.03,NA,Generalist,NA
Mazama,chunyi,Cervidae,No,NA,16000,NA,NA,243.33,NA,NA,112162,NA,NA,NA,14.11,37446.01,NA,Generalist,2
Mazama,gouazoupira,Cervidae,Yes,NA,16400,NA,623.54,220.14,NA,1.00,12556119,NA,144.00,9.34,22.64,NA,Monogamous,Generalist,5
Mazama,nana,Cervidae,No,NA,16500,NA,NA,NA,NA,NA,713884,NA,NA,NA,48.64,452318.75,NA,Generalist,NA
Mazama,rufina,Cervidae,No,Not_Threatened,21000,NA,NA,231.65,NA,NA,14704,NA,NA,NA,61.14,25736.40,NA,Generalist,4
Moschiola,meminna,Tragulidae,Yes,Not_Threatened,3090,NA,NA,153.53,NA,NA,1572492,NA,NA,2.78,324.34,573296.25,NA,Generalist,4
Moschus,berezovskii,Moschidae,Yes,Not_Threatened,12300,NA,NA,184.25,NA,NA,2263302,0.14,NA,NA,191.03,1548900.96,NA,Generalist,2
Moschus,chrysogaster,Moschidae,Yes,Not_Threatened,13500,730.00,505.13,188.00,NA,1.00,1789906,0.14,NA,NA,43.15,1298128.40,NA,Generalist,4
Moschus,fuscus,Moschidae,Yes,Not_Threatened,13500,NA,NA,NA,NA,NA,121179,0.14,NA,NA,24.30,1061677.90,NA,Generalist,3
Moschus,moschiferus,Moschidae,Yes,Threatened,13300,NA,388.79,175.92,NA,1.00,8554235,0.14,NA,NA,20.87,534181.93,NA,Generalist,3
Muntiacus,atherodes,Cervidae,Yes,Not_Threatened,18800,NA,NA,NA,NA,NA,108467,NA,NA,NA,16.82,199369.00,NA,Generalist,2
Muntiacus,crinifrons,Cervidae,Yes,NA,18300,NA,NA,195.58,NA,NA,128303,NA,NA,NA,327.46,1574470.00,Monogamous,Generalist,2
Muntiacus,feae,Cervidae,No,NA,17800,NA,NA,195.58,NA,NA,21363,NA,NA,NA,43.40,NA,NA,Generalist,2
Muntiacus,gongshanensis,Cervidae,No,NA,18300,NA,NA,NA,NA,NA,171,NA,NA,NA,8.56,1574470.00,NA,Generalist,2
Muntiacus,muntjak,Cervidae,Yes,Not_Threatened,17400,NA,293.10,210.00,241.00,NA,7321434,NA,211.20,3.17,236.51,512928.91,Monogamous,Generalist,2
Muntiacus,reevesi,Cervidae,No,Not_Threatened,13500,NA,274.37,214.25,215.25,NA,1767641,0.13,NA,0.67,356.67,1573686.63,Monogamous,Generalist,2
Naemorhedus,baileyi,Bovidae,Yes,Threatened,28500,NA,NA,212.92,NA,NA,105198,NA,219.00,NA,27.92,NA,NA,NA,NA
Naemorhedus,caudatus,Bovidae,No,Threatened,27000,NA,NA,NA,NA,NA,2662960,NA,207.96,NA,155.99,1421720.31,NA,NA,3
Naemorhedus,crispus,Bovidae,No,Threatened,42600,NA,860.23,213.00,547.50,NA,113318,0.11,222.96,1.98,346.21,4374440.00,NA,NA,3
Naemorhedus,goral,Bovidae,Yes,Not_Threatened,28700,NA,874.00,212.92,365.00,NA,353466,NA,211.20,NA,102.32,515870.04,Polygamous,Generalist,3
Naemorhedus,sumatraensis,Bovidae,Yes,Threatened,110000,NA,NA,231.37,NA,NA,2865764,NA,252.00,NA,151.35,1083899.38,Monogamous,Specialist,3
Naemorhedus,swinhoei,Bovidae,No,Threatened,NA,NA,NA,NA,NA,NA,11916,NA,NA,NA,595.77,NA,NA,NA,3
Neotragus,batesi,Bovidae,Yes,Not_Threatened,2950,365.00,317.52,181.25,NA,NA,1089948,NA,168.00,NA,41.93,9715.57,Monogamous,Specialist,4
Neotragus,moschatus,Bovidae,Yes,Threatened,5600,NA,172.05,180.00,NA,1.50,1612116,NA,168.00,16.80,42.02,10079.97,Monogamous,Specialist,4
Neotragus,pygmaeus,Bovidae,Yes,Not_Threatened,3880,NA,NA,180.00,NA,2.00,426515,NA,168.00,NA,74.42,7126.62,NA,Specialist,3
Odocoileus,hemionus,Cervidae,No,Not_Threatened,83800,547.50,451.20,203.50,365.00,NA,6310738,2.03,264.00,16.00,14.39,7035884.60,Polygamous,Generalist,5
Odocoileus,virginianus,Cervidae,Yes,Not_Threatened,75000,463.00,285.57,201.40,304.17,2.25,14446002,2.00,276.00,17.30,34.12,5270196.44,Polygamous,Generalist,5
Okapia,johnstoni,Giraffidae,No,Not_Threatened,230000,NA,821.25,443.00,NA,1.00,1105797,4.65,396.00,1.02,19.43,5392.02,Monogamous,Specialist,3
