Zip.Code,Sample.Number,Date.Submitted,Analysis..Lead.,Lead.ppb,Analysis..Copper.,copper.ppb,Street..,Street.Name,City,N,income,ave.income
48503,LG59575,7/14/16,Lead,2,Copper,80,914,BLANCHARD AVE,FLINT,9642,310929,32.24735532
48503,LG75329,9/21/16,Lead,0,Copper,0,610,E GRACELAWN AVE,FLINT,9642,310929,32.24735532
48503,LG87676,11/17/16,Lead,0,Copper,0,406,E MARENGO AVE,FLINT,9642,310929,32.24735532
48503,LG59566,7/14/16,Lead,0,Copper,0,2807,N AVERILL AVE,FLINT,9642,310929,32.24735532
48503,LG87605,11/17/16,Lead,,Copper,,,ST JOHN PRESCHOOL,DAVISON,9642,310929,32.24735532
48503,LG87697,11/17/16,Lead,,Copper,,915,E COURT ST APT #302,FLINT,9642,310929,32.24735532
48503,LG63344,8/1/16,Lead,0,Copper,90,517,E FIFTH AVE,FLINT,9642,310929,32.24735532
48503,LG91175,12/12/16,Lead,,Copper,,2416,NORBERT ST,FLINT,9642,310929,32.24735532
48503,LG91170,12/12/16,Lead,,Copper,,3506,MACKIN RD,FLINT,9642,310929,32.24735532
48503,LG60810,7/20/16,Lead,0,Copper,0,630,E JAMIESON ST,FLINT,9642,310929,32.24735532
48503,LG85702,11/7/16,Lead,6,Copper,0,926,BEARD ST,FLINT,9642,310929,32.24735532
48503,LG75296,9/21/16,Lead,0,Copper,0,214,E LIVINGSTON DR,FLINT,9642,310929,32.24735532
48503,LG87380,11/17/16,Lead,1,Copper,0,2721,BEGOLE ST,FLINT,9642,310929,32.24735532
48503,LG69557,8/25/16,Lead,0,Copper,0,1534,GARLAND ST,FLINT,9642,310929,32.24735532
48503,LG72800,9/12/16,Lead,7,Copper,0,2849,STEVENSON ST,FLINT,9642,310929,32.24735532
48503,LG86718,11/14/16,Lead,,Copper,,424,CRAPO ST APT #2,FLINT,9642,310929,32.24735532
48503,LG71016,9/1/16,Lead,0,Copper,0,322,E CARPENTER RD,FLINT,9642,310929,32.24735532
48503,LG64534,8/4/16,Lead,0,Copper,0,4513,MILTON DR,FLINT,9642,310929,32.24735532
48503,LG86720,11/14/16,Lead,,Copper,,1059,E MARENGO AVE,FLINT,9642,310929,32.24735532
48503,LG74866,9/19/16,Lead,0,Copper,0,647,FREEMAN AVE,FLINT,9642,310929,32.24735532
48503,LG60612,7/19/16,Lead,2,Copper,170,635,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG92353,12/19/16,Lead,,Copper,,1109,BARRINGTON DR,FLINT,9642,310929,32.24735532
48503,LG74220,9/15/16,Lead,0,Copper,0,1901,MOUNTCLAIR AVE,FLINT,9642,310929,32.24735532
48503,LG60614,7/19/16,Lead,0,Copper,100,610,E GRACELAWN AVE,FLINT,9642,310929,32.24735532
48503,LG87437,11/17/16,Lead,1,Copper,100,2317,BROOKSIDE DR,FLINT,9642,310929,32.24735532
48503,LG59592,7/14/16,Lead,1,Copper,0,3406,BROWN ST,FLINT,9642,310929,32.24735532
48503,LG77552,9/27/16,Lead,0,Copper,0,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG90795,12/8/16,Lead,0,Copper,60,746,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG85359,11/3/16,Lead,0,Copper,0,2505,E COURT ST,FLINT,9642,310929,32.24735532
48503,LG91157,12/12/16,Lead,0,Copper,0,2408,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG87407,11/17/16,Lead,8,Copper,90,911,E MYRTLE AVE,FLINT,9642,310929,32.24735532
48503,LG78682,9/29/16,Lead,0,Copper,0,3622,GRATIOT AVE,FLINT,9642,310929,32.24735532
48503,LG64520,8/4/16,Lead,0,Copper,0,517,BANGS ST,FLINT,9642,310929,32.24735532
48503,LG81781,10/13/16,Lead,0,Copper,0,3622,GRATIOT AVE,FLINT,9642,310929,32.24735532
48503,LG67888,8/18/16,Lead,6,Copper,0,631,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG91187,12/12/16,Lead,,Copper,,519,GREENFIELD AVE,FLINT,9642,310929,32.24735532
48503,LG68216,8/19/16,Lead,2,Copper,0,639,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG93142,12/22/16,Lead,0,Copper,0,2101,WINDEMERE AVE,FLINT,9642,310929,32.24735532
48503,LG88118,11/21/16,Lead,,Copper,,6236,NEFF RD DAILEY,MT MORRIS,9642,310929,32.24735532
48503,LG60220,7/18/16,Lead,0,Copper,100,1010,NELSON ST,FLINT,9642,310929,32.24735532
48503,LG60615,7/19/16,Lead,0,Copper,0,258,E HOBSON AVE,FLINT,9642,310929,32.24735532
48503,LG87438,11/17/16,Lead,0,Copper,0,139,GREEN ST,FLINT,9642,310929,32.24735532
48503,LG77527,9/27/16,Lead,0,Copper,60,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG85317,11/3/16,Lead,,Copper,,1310,FOREST HILL AVE,FLINT,9642,310929,32.24735532
48503,LG87625,11/17/16,Lead,,Copper,,,NEW STANDARD ACADEMY,FLINT,9642,310929,32.24735532
48503,LG61500,7/21/16,Lead,0,Copper,0,150,E HOME AVE,FLINT,9642,310929,32.24735532
48503,LG61542,7/21/16,Lead,1,Copper,0,3505,COMANCHE AVE,FLINT,9642,310929,32.24735532
48503,LG83015,10/20/16,Lead,0,Copper,0,647,FREEMAN AVE,FLINT,9642,310929,32.24735532
48503,LG75285,9/21/16,Lead,6,Copper,0,741,CLINTON ST,FLINT,9642,310929,32.24735532
48503,LG60608,7/19/16,Lead,0,Copper,0,5410,FLEMING RD,FLINT,9642,310929,32.24735532
48503,LG91202,12/12/16,Lead,,Copper,,817,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG67969,8/18/16,Lead,1,Copper,0,1026,BARLOW AVE,FLINT,9642,310929,32.24735532
48503,LG67839,8/18/16,Lead,1,Copper,0,2402,COPEMAN BLVD,FLINT,9642,310929,32.24735532
48503,LG87408,11/17/16,Lead,1,Copper,0,2402,COPEMAN BLVD,FLINT,9642,310929,32.24735532
48503,LG86516,11/10/16,Lead,0,Copper,70,1338,W BRISTOL,FLINT,9642,310929,32.24735532
48503,LG77540,9/27/16,Lead,0,Copper,0,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG60793,7/20/16,Lead,6,Copper,0,2824,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG77542,9/27/16,Lead,0,Copper,110,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG76245,9/22/16,Lead,0,Copper,0,3840,GLOUCESTER ST,FLINT,9642,310929,32.24735532
48503,LG60641,7/19/16,Lead,6,Copper,0,8274,N PORT,GRAND BLANC,9642,310929,32.24735532
48503,LG58355,7/11/16,Lead,"3,962",Copper,"2,060",3213,IROQUOIS AVE,FLINT,9642,310929,32.24735532
48503,LG88138,11/21/16,Lead,0,Copper,0,647,FREEMANE AVE,FLINT,9642,310929,32.24735532
48503,LG85700,11/7/16,Lead,0,Copper,0,2545,GRAND TRAVERSE,FLINT,9642,310929,32.24735532
48503,LG77548,9/27/16,Lead,0,Copper,0,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG91216,12/12/16,Lead,,Copper,,729,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG71008,9/1/16,Lead,0,Copper,0,346,E PARKWAY AVE,FLINT,9642,310929,32.24735532
48503,LG82142,10/17/16,Lead,0,Copper,0,413,E PHILADELPHIA BLVD,FLINT,9642,310929,32.24735532
48503,LG80756,10/6/16,Lead,0,Copper,0,2505,E COURT ST,FLINT,9642,310929,32.24735532
48503,LG92035,12/15/16,Lead,0,Copper,0,3019,CORUNNA RD,FLINT,9642,310929,32.24735532
48503,LG84161,10/27/16,Lead,8,Copper,120,605,E MARENGO,FLINT,9642,310929,32.24735532
48503,LG80747,10/6/16,Lead,0,Copper,0,121,E PIPER AVE,FLINT,9642,310929,32.24735532
48503,LG92039,12/15/16,Lead,0,Copper,0,3010,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG61496,7/21/16,Lead,0,Copper,0,514,E PULASKI AVE,FLINT,9642,310929,32.24735532
48503,LG58836,7/12/16,Lead,0,Copper,0,1122,E ROSEDALE AVE,FLINT,9642,310929,32.24735532
48503,LG64532,8/4/16,Lead,0,Copper,0,3088,OLD FARM RD,FLINT,9642,310929,32.24735532
48503,LG62982,7/28/16,Lead,0,Copper,0,430,E RUTH AVE,FLINT,9642,310929,32.24735532
48503,LG57969,7/7/16,Lead,2,Copper,0,2409,HILLS ST,FLINT,9642,310929,32.24735532
48503,LG76104,9/22/16,Lead,8,Copper,0,2831,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG61107,7/20/16,Lead,0,Copper,50,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG69560,8/25/16,Lead,0,Copper,70,1402,BLACKBERRY LN,FLINT,9642,310929,32.24735532
48503,LG89413,12/1/16,Lead,,Copper,,3910,CIRCLE DR APT 1,FLINT,9642,310929,32.24735532
48503,LG90824,12/8/16,Lead,,Copper,,1016,INGLESIDE AVE,FLINT,9642,310929,32.24735532
48503,LG90031,12/6/16,Lead,,Copper,,1200,N TELEGRAPH BLDG 34E,PONTIAC,9642,310929,32.24735532
48503,LG88001,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,9642,310929,32.24735532
48503,LG61548,7/21/16,Lead,0,Copper,0,929,E WELLINGTON AVE,FLINT,9642,310929,32.24735532
48503,LG86557,11/10/16,Lead,,Copper,,929,E YORK AVE,FLINT,9642,310929,32.24735532
48503,LG92055,12/15/16,Lead,0,Copper,100,3002,RICHFIELD RD,FLINT,9642,310929,32.24735532
48503,LG79595,10/3/16,Lead,0,Copper,0,1314,N BALLENGER HWY,FLINT,9642,310929,32.24735532
48503,LG71341,9/6/16,Lead,0,Copper,0,908,E KEARSLEY ST,FLINT,9642,310929,32.24735532
48503,LG81097,10/10/16,Lead,7,Copper,0,3218,YALE ST,FLINT,9642,310929,32.24735532
48503,LG85324,11/3/16,Lead,,Copper,,1318,BLANCHARD AVE,FLINT,9642,310929,32.24735532
48503,LG75377,9/21/16,Lead,1,Copper,100,2332,COPEMAN BLVD,FLINT,9642,310929,32.24735532
48503,LG63034,7/28/16,Lead,3,Copper,70,2610,M L KING AVE,FLINT,9642,310929,32.24735532
48503,LG92064,12/15/16,Lead,0,Copper,0,1002,S SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG70058,8/29/16,Lead,1,Copper,90,112,CRAIGHTON CT,FLINT,9642,310929,32.24735532
